backbone.levels.0.blocks.3.norm1.0.bias	torch.Size([320])
backbone.levels.0.blocks.3.dcn.offset.bias	torch.Size([180])
backbone.levels.0.blocks.3.dcn.center_feature_scale_proj_weight	torch.Size([10, 320])
backbone.levels.0.blocks.3.dcn.center_feature_scale_proj_bias	torch.Size([10])
backbone.levels.0.blocks.3.dcn.dw_conv.0.weight	torch.Size([320, 1, 5, 5])
backbone.levels.0.blocks.3.dcn.dw_conv.0.bias	torch.Size([320])
backbone.levels.0.blocks.3.dcn.dw_conv.1.1.weight	torch.Size([320])
backbone.levels.0.blocks.3.dcn.dw_conv.1.1.bias	torch.Size([320])
backbone.levels.0.blocks.3.dcn.offset.weight	torch.Size([180, 320])
backbone.levels.0.blocks.3.dcn.mask.weight	torch.Size([90, 320])
backbone.levels.0.blocks.3.dcn.mask.bias	torch.Size([90])
backbone.levels.0.blocks.3.dcn.input_proj.weight	torch.Size([320, 320])
backbone.levels.0.blocks.3.dcn.input_proj.bias	torch.Size([320])
backbone.levels.0.blocks.3.dcn.output_proj.weight	torch.Size([320, 320])
backbone.levels.0.blocks.3.dcn.output_proj.bias	torch.Size([320])
backbone.levels.0.blocks.3.norm2.0.weight	torch.Size([320])
backbone.levels.0.blocks.3.norm2.0.bias	torch.Size([320])
backbone.levels.0.blocks.3.mlp.fc1.weight	torch.Size([1280, 320])
backbone.levels.0.blocks.3.mlp.fc1.bias	torch.Size([1280])
backbone.levels.0.blocks.3.mlp.fc2.weight	torch.Size([320, 1280])
backbone.levels.0.blocks.3.mlp.fc2.bias	torch.Size([320])
backbone.levels.0.blocks.3.res_post_norm1.0.weight	torch.Size([320])
backbone.levels.0.blocks.3.res_post_norm1.0.bias	torch.Size([320])
backbone.levels.0.blocks.3.res_post_norm2.0.weight	torch.Size([320])
backbone.levels.0.blocks.3.res_post_norm2.0.bias	torch.Size([320])
backbone.levels.0.blocks.4.norm1.0.weight	torch.Size([320])
backbone.levels.0.blocks.4.norm1.0.bias	torch.Size([320])
backbone.levels.0.blocks.4.dcn.offset.bias	torch.Size([180])
backbone.levels.0.blocks.4.dcn.center_feature_scale_proj_weight	torch.Size([10, 320])
backbone.levels.0.blocks.4.dcn.center_feature_scale_proj_bias	torch.Size([10])
backbone.levels.0.blocks.4.dcn.dw_conv.0.weight	torch.Size([320, 1, 5, 5])
backbone.levels.0.blocks.4.dcn.dw_conv.0.bias	torch.Size([320])
backbone.levels.0.blocks.4.dcn.dw_conv.1.1.weight	torch.Size([320])
backbone.levels.0.blocks.4.dcn.dw_conv.1.1.bias	torch.Size([320])
backbone.levels.0.blocks.4.dcn.offset.weight	torch.Size([180, 320])
backbone.levels.0.blocks.4.dcn.mask.weight	torch.Size([90, 320])
backbone.levels.0.blocks.4.dcn.mask.bias	torch.Size([90])
backbone.levels.0.blocks.4.dcn.input_proj.weight	torch.Size([320, 320])
backbone.levels.0.blocks.4.dcn.input_proj.bias	torch.Size([320])
backbone.levels.0.blocks.4.dcn.output_proj.weight	torch.Size([320, 320])
backbone.levels.0.blocks.4.dcn.output_proj.bias	torch.Size([320])
backbone.levels.0.blocks.4.norm2.0.weight	torch.Size([320])
backbone.levels.0.blocks.4.norm2.0.bias	torch.Size([320])
backbone.levels.0.blocks.4.mlp.fc1.weight	torch.Size([1280, 320])
backbone.levels.0.blocks.4.mlp.fc1.bias	torch.Size([1280])
backbone.levels.0.blocks.4.mlp.fc2.weight	torch.Size([320, 1280])
backbone.levels.0.blocks.4.mlp.fc2.bias	torch.Size([320])
backbone.levels.0.blocks.4.res_post_norm1.0.weight	torch.Size([320])
backbone.levels.0.blocks.4.res_post_norm1.0.bias	torch.Size([320])
backbone.levels.0.blocks.4.res_post_norm2.0.weight	torch.Size([320])
backbone.levels.0.blocks.4.res_post_norm2.0.bias	torch.Size([320])
