block1.2.attn.spatial_gating_unit.conv0_2.weight	torch.Size([64, 1, 7, 1])
block1.2.attn.spatial_gating_unit.conv0_2.bias	torch.Size([64])
block1.2.attn.spatial_gating_unit.conv1_1.weight	torch.Size([64, 1, 1, 11])
block1.2.attn.spatial_gating_unit.conv1_1.bias	torch.Size([64])
block1.2.attn.spatial_gating_unit.conv1_2.weight	torch.Size([64, 1, 11, 1])
block1.2.attn.spatial_gating_unit.conv1_2.bias	torch.Size([64])
block1.2.attn.spatial_gating_unit.conv2_1.weight	torch.Size([64, 1, 1, 21])
block1.2.attn.spatial_gating_unit.conv2_1.bias	torch.Size([64])
block1.2.attn.spatial_gating_unit.conv2_2.weight	torch.Size([64, 1, 21, 1])
block1.2.attn.spatial_gating_unit.conv2_2.bias	torch.Size([64])
block1.2.attn.spatial_gating_unit.conv3.weight	torch.Size([64, 64, 1, 1])
block1.2.attn.spatial_gating_unit.conv3.bias	torch.Size([64])
block1.2.attn.proj_2.weight	torch.Size([64, 64, 1, 1])
block1.2.attn.proj_2.bias	torch.Size([64])
block1.2.norm2.weight	torch.Size([64])
block1.2.norm2.bias	torch.Size([64])
block1.2.norm2.running_mean	torch.Size([64])
block1.2.norm2.running_var	torch.Size([64])
block1.2.norm2.num_batches_tracked	torch.Size([])
block1.2.mlp.fc1.weight	torch.Size([512, 64, 1, 1])
block1.2.mlp.fc1.bias	torch.Size([512])
block1.2.mlp.dwconv.weight	torch.Size([512, 1, 3, 3])
block1.2.mlp.dwconv.bias	torch.Size([512])
block1.2.mlp.fc2.weight	torch.Size([64, 512, 1, 1])
block1.2.mlp.fc2.bias	torch.Size([64])
norm1.weight	torch.Size([64])
norm1.bias	torch.Size([64])
patch_embed2.proj.weight	torch.Size([128, 64, 3, 3])
patch_embed2.proj.bias	torch.Size([128])
patch_embed2.norm.weight	torch.Size([128])
patch_embed2.norm.bias	torch.Size([128])
patch_embed2.norm.running_mean	torch.Size([128])
patch_embed2.norm.running_var	torch.Size([128])
patch_embed2.norm.num_batches_tracked	torch.Size([])
block2.0.layer_scale_1	torch.Size([128])
block2.0.layer_scale_2	torch.Size([128])
block2.0.norm1.weight	torch.Size([128])
block2.0.norm1.bias	torch.Size([128])
block2.0.norm1.running_mean	torch.Size([128])
block2.0.norm1.running_var	torch.Size([128])
block2.0.norm1.num_batches_tracked	torch.Size([])
block2.0.attn.proj_1.weight	torch.Size([128, 128, 1, 1])
block2.0.attn.proj_1.bias	torch.Size([128])
block2.0.attn.spatial_gating_unit.conv0.weight	torch.Size([128, 1, 5, 5])
block2.0.attn.spatial_gating_unit.conv0.bias	torch.Size([128])
block2.0.attn.spatial_gating_unit.conv0_1.weight	torch.Size([128, 1, 1, 7])
block2.0.attn.spatial_gating_unit.conv0_1.bias	torch.Size([128])
block2.0.attn.spatial_gating_unit.conv0_2.weight	torch.Size([128, 1, 7, 1])
